Timestamp for sample frequency every 12 Hrs min,Temperature_Fahrenheit,Relative_Humidity
2025-01-01 00:00:00,77.36,31.5
2025-01-01 12:00:00,73.58,31.3
2025-01-02 00:00:00,75.02,29.1
2025-01-02 12:00:00,73.76,26.8
2025-01-03 00:00:00,73.76,25.8
2025-01-03 12:00:00,73.76,24.4
2025-01-04 00:00:00,74.3,23.9
2025-01-04 12:00:00,73.94,22.4
2025-01-05 00:00:00,74.48,20.4
2025-01-05 12:00:00,73.4,21
2025-01-06 00:00:00,75.38,20.4
2025-01-06 12:00:00,73.4,20.6
2025-01-07 00:00:00,74.3,21.9
2025-01-07 12:00:00,73.4,20.2
2025-01-08 00:00:00,73.94,19.5
2025-01-08 12:00:00,73.94,18.4
2025-01-09 00:00:00,74.3,17.7
2025-01-09 12:00:00,73.4,18.1
2025-01-10 00:00:00,74.12,18.7
2025-01-10 12:00:00,73.58,21.3
2025-01-11 00:00:00,74.48,24.5
2025-01-11 12:00:00,73.4,22.7
2025-01-12 00:00:00,74.3,19.6
2025-01-12 12:00:00,73.58,20.6
2025-01-13 00:00:00,74.12,22.2
2025-01-13 12:00:00,73.76,21.1
2025-01-14 00:00:00,75.56,20
2025-01-14 12:00:00,73.76,18.2
2025-01-15 00:00:00,74.66,17.6
2025-01-15 12:00:00,73.76,17
2025-01-16 00:00:00,74.84,16.7
2025-01-16 12:00:00,73.94,21
2025-01-17 00:00:00,74.12,19.5
2025-01-17 12:00:00,73.94,22.9
2025-01-18 00:00:00,71.96,36.8
2025-01-18 12:00:00,71.24,36.6
2025-01-19 00:00:00,74.12,31.6
2025-01-19 12:00:00,71.96,35.8
2025-01-20 00:00:00,72.86,34.7
2025-01-20 12:00:00,71.96,33
2025-01-21 00:00:00,71.96,30.1
2025-01-21 12:00:00,68.54,31.6
2025-01-22 00:00:00,71.06,26.2
2025-01-22 12:00:00,67.82,29.6
2025-01-23 00:00:00,69.98,31.9
2025-01-23 12:00:00,70.34,25.5
2025-01-24 00:00:00,71.96,30.7
2025-01-24 12:00:00,69.8,33.2
2025-01-25 00:00:00,75.38,22
2025-01-25 12:00:00,71.24,27.7
2025-01-26 00:00:00,71.96,30.6
2025-01-26 12:00:00,71.78,32.8
2025-01-27 00:00:00,74.12,22.4
2025-01-27 12:00:00,73.58,20.1
2025-01-28 00:00:00,73.76,19.8
2025-01-28 12:00:00,72.14,30.4
2025-01-29 00:00:00,71.42,31.2
2025-01-29 12:00:00,72.86,27.7
2025-01-30 00:00:00,73.58,29.3
2025-01-30 12:00:00,71.78,32.2
2025-01-31 00:00:00,72.32,25.4